"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "XML", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 20, 277
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 12, 169
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 11, 128
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 7, 57
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 14, 186
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 14, 140
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 660, 0, 0, 0, 0, 12, 55, 727
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 6, 64
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 12, 117
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 74
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"c:\Users\BERG\bot-whatsapp-atendimento\src\hooks\use-mobile.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\BERG\bot-whatsapp-atendimento\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\BERG\bot-whatsapp-atendimento\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\BERG\bot-whatsapp-atendimento\tsconfig.tsbuildinfo", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 27, 13805, 930, 2291, 9305, 117, 5, 4892, 62, 535, 2717, 34686
